,Date,BTC price [USD],Gold price[USD],róznica w % miedzy BTC a ZL
0,2014-01-02,749.27,1225.0,-38.84
1,2014-01-03,781.23,1238.4,-36.92
2,2014-01-04,807.39,,
3,2014-01-05,828.74,,
4,2014-01-06,904.98,1237.8,-26.89
5,2014-01-07,915.69,1229.4,-25.52
6,2014-01-08,790.0,1225.3,-35.53
7,2014-01-09,823.3,1229.3,-33.03
8,2014-01-10,826.28,1246.7,-33.72
9,2014-01-11,853.99,,
10,2014-01-12,895.0,,
11,2014-01-13,844.04,1250.9,-32.53
12,2014-01-14,823.0,1245.2,-33.91
13,2014-01-15,816.0,1238.1,-34.09
14,2014-01-16,841.83,1240.0,-32.11
15,2014-01-17,817.15,1251.7,-34.72
16,2014-01-18,792.0,,
17,2014-01-19,811.2,,
18,2014-01-20,841.1,1255.1,-32.99
19,2014-01-21,827.81,1242.3,-33.36
20,2014-01-22,824.78,1239.0,-33.43
21,2014-01-23,819.62,1262.6,-35.08
22,2014-01-24,811.22,1264.5,-35.85
23,2014-01-25,780.02,,
24,2014-01-26,805.0,,
25,2014-01-27,814.21,1263.6,-35.56
26,2014-01-28,747.57,1251.0,-40.24
27,2014-01-29,785.6,1262.2,-37.76
28,2014-01-30,794.0,1242.2,-36.08
29,2014-01-31,800.0,1240.1,-35.49
30,2014-02-01,803.0,,
31,2014-02-02,817.08,,
32,2014-02-03,814.34,1260.4,-35.39
33,2014-02-04,808.5,1251.7,-35.41
34,2014-02-05,802.99,1257.3,-36.13
35,2014-02-06,781.0,1257.6,-37.9
36,2014-02-07,763.97,1263.3,-39.53
37,2014-02-08,710.01,,
38,2014-02-09,680.8,,
39,2014-02-10,687.37,1274.8,-46.08
40,2014-02-11,688.68,1290.1,-46.62
41,2014-02-12,675.1,1295.3,-47.88
42,2014-02-13,652.91,1300.4,-49.79
43,2014-02-14,610.0,1319.0,-53.75
44,2014-02-15,670.29,,
45,2014-02-16,655.71,,
